ticket_id,user_id,title,description,category,resolution,priority,created_at,assignment_group,status
TKT-1136,USR-9383,Auto-scaling group failing to launch,New instances are being terminated immediately after launch due to IAM role mismatch.,Infrastructure,N/A - Ticket still open,P2 - High,2026-02-15 23:00:00,Cloud Ops Team,Open
TKT-1137,USR-6881,VPN connection dropped,Office-to-Cloud VPN tunnel is down. Traffic is not routing via the gateway.,Network,N/A - Ticket still open,P1 - Critical,2026-02-24 17:00:00,Network Engineering,In Progress
TKT-1138,USR-7199,Login page throwing 500 error,Users reporting internal server error when clicking the login button on the portal.,Application,Reset credentials and sent encrypted link to user.,P1 - Critical,2026-01-27 01:00:00,App Support Tier 2,Closed
TKT-1139,USR-8912,EBS volume snapshot timeout,Backup job for the data volume is timing out during the finalization phase.,storage,Coordinated with ISP to resolve routing issue.,P3 - Medium,2026-01-02 17:00:00,SAN/Storage Team,Resolved
TKT-1140,USR-7883,Memory leak in API service,Pod restarts occurring every 2 hours due to OOM kill on the 'auth-service'.,Application,N/A - Ticket still open,P2 - High,2026-03-03 22:00:00,App Support Tier 2,In Progress
TKT-1141,USR-7195,VPN connection dropped,Office-to-Cloud VPN tunnel is down. Traffic is not routing via the gateway.,Network,Coordinated with ISP to resolve routing issue.,P1 - Critical,2026-03-09 05:00:00,Network Engineering,Resolved
TKT-1142,USR-5146,S3 Bucket permissions mismatch,Public access blocked but internal lambda cannot read from the 'uploads' bucket.,storage,N/A - Ticket still open,P3 - Medium,2026-02-03 03:00:00,SAN/Storage Team,In Progress
TKT-1143,USR-8075,Password reset for SAP,User locked out after 3 failed attempts. Needs manual unlock and reset.,Access Management,Increased partition size by 50GB.,P4 - Low,2026-03-20 11:00:00,Identity & Access Management (IAM),Resolved
TKT-1144,USR-8220,Password reset for SAP,User locked out after 3 failed attempts. Needs manual unlock and reset.,Access Management,Coordinated with ISP to resolve routing issue.,P4 - Low,2026-02-02 02:00:00,Identity & Access Management (IAM),Resolved
TKT-1145,USR-5758,Server 94 unreachable in VPC,The EC2 instance in the production subnet is not responding to health checks. SSH timed out.,Infrastructure,N/A - Ticket still open,P2 - High,2026-01-02 12:00:00,Cloud Ops Team,In Progress
TKT-1146,USR-5683,Frontend CSS alignment issues,Navigation bar is overlapping with the hero section on mobile devices.,Application,Increased partition size by 50GB.,P4 - Low,2026-03-09 20:00:00,App Support Tier 2,Resolved
TKT-1147,USR-7370,NFS Mount point stale,The /mnt/shared volume is showing as stale on all worker nodes.,storage,Fixed race condition in the codebase.,P2 - High,2026-02-17 14:00:00,SAN/Storage Team,Closed
TKT-1148,USR-5570,Weekly backup failed,RDS snapshot failed due to storage limit. Manual intervention needed.,Database,N/A - Ticket still open,P2 - High,2026-01-21 22:00:00,DBA Global,In Progress
TKT-1149,USR-5829,VPN connection dropped,Office-to-Cloud VPN tunnel is down. Traffic is not routing via the gateway.,Network,N/A - Ticket still open,P1 - Critical,2026-02-24 17:00:00,Network Engineering,Open
TKT-1150,USR-6555,VPN connection dropped,Office-to-Cloud VPN tunnel is down. Traffic is not routing via the gateway.,Network,N/A - Ticket still open,P1 - Critical,2026-01-08 11:00:00,Network Engineering,In Progress
